"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1848045006826926388","Sun Oct 20 16:53:59 +0000 2024","0","Presiden Prabowo Subianto secara resmi mengumumkan jajaran lengkap wakil menteri yang akan mendukung pemerintahan Kabinet Merah Putih untuk periode 2024-2029. Siapa saja? Yuk disimak! https://t.co/LGoW8KDVot","1848045006826926388","","","in","","0","0","0","https://x.com/hypevox_id/status/1848045006826926388","1726873272686694400","hypevox_id"
"1847996796632748267","Sun Oct 20 16:53:51 +0000 2024","0","@papa_loren Yang pas gantiin dia harusnya si Qodari tinggal pake iket kain putih. Sayang lulusan tiga universitas itu gak dilirik presiden baru. Sama-sama bermodal cuap-cuap Doktor jebolan Inggris pencipta 58 itu dikalahkan Abu Janda dan vokalis band. ","1848044973763313804","","papa_loren","in","yogyakarta","0","0","0","https://x.com/gubrack/status/1848044973763313804","104229525","gubrack"
"1847868176719110312","Sun Oct 20 16:53:40 +0000 2024","0","@UmarSyadatHsb__ Presiden RI terbaik","1848044927395279031","","UmarSyadatHsb__","in","","0","0","0","https://x.com/melody_papa/status/1848044927395279031","1158541656347426817","melody_papa"
"1847851723882451301","Sun Oct 20 16:53:37 +0000 2024","0","@cxllquery @madarkham Presiden selanjutnya kalo lo ga pernah merasa puas sama kinerja nya juga paling minta skip lagi mending lo aja deh mba yang skip di dunia lo cuma polusi dosa doang. Muluk muluk presiden suci lo aja kaya dajjal gini kalo merasa presiden jelek ngaca kata gua mah dosa lu numpuk","1848044915198238760","","cxllquery","in","Indonesia","0","0","0","https://x.com/velleniele/status/1848044915198238760","1667420415923458050","velleniele"
"1848044891508801797","Sun Oct 20 16:53:31 +0000 2024","0","Presiden REPUBLIK INDONESIA KE 08. https://t.co/FBOih1nz1I","1848044891508801797","https://pbs.twimg.com/media/GaWTB4UbkAASQ3u.jpg","","in","","0","0","0","https://x.com/hasibHphasibuan/status/1848044891508801797","1118398437894971393","hasibHphasibuan"
"1847932855936270642","Sun Oct 20 16:53:30 +0000 2024","0","@AlbasiaKem80312 @roymz_13 @jokowi Mustahil karena aku mantan pemilih Prabowo 2014 dan 2019 ikut senang Prabowo jadi Presiden tapi buat @gibran_tweet Fufufafa hati hati lu di gampar Pak prabowo bapak lu udah gak ada power ","1848044886832062529","","AlbasiaKem80312","in","Utrecht, The Netherlands","0","0","0","https://x.com/Ricz_sky/status/1848044886832062529","906816646223863808","Ricz_sky"
"1848044832075526338","Sun Oct 20 16:53:17 +0000 2024","0","Ini di TJ ada yg mirip mantan presiden w ","1848044832075526338","","","in","where the sea sleeps","0","0","0","https://x.com/guitarisana/status/1848044832075526338","181483643","guitarisana"
"1847871914204942853","Sun Oct 20 16:53:09 +0000 2024","0","@nobonkecil @pindad coba deh cek spesifikasi mobil dinas presiden US. komplit noh di google","1848044798575558697","","nobonkecil","in","Pluto","0","0","0","https://x.com/Leonidas666_/status/1848044798575558697","1536947530813952000","Leonidas666_"
"1848044776849125666","Sun Oct 20 16:53:04 +0000 2024","0","Yg terpenting bgi Rakyat bgmn pembuktian dr ucapan pak Presiden @prabowo nantinya setlah benar2 memerintah","1848044776849125666","","","in","Indonesia","0","0","0","https://x.com/RatnaPuspi16942/status/1848044776849125666","1688663918099812353","RatnaPuspi16942"
"1848044770209436106","Sun Oct 20 16:53:02 +0000 2024","0","#sedulurkpubanyumas #temanpemilih Keluarga Besar KPU Kabupaten Banyumas mengucapkan Terima Kasih kepada Ir. H. Joko Widodo - KH. Ma'ruf Amin atas kepemimpinan selama menjabat sebagai Presiden dan Wakil Presiden RI tahun 2019 - 2024. #kpubanyumas #kpumelayani #indonesia https://t.co/j3I1b3jvn5","1848044770209436106","https://pbs.twimg.com/media/GaWS6araQAAS4Np.jpg","","in","Purwokerto, Jawa Tengah","0","0","0","https://x.com/kpukabbanyumas/status/1848044770209436106","3091621410","kpukabbanyumas"
"1848044702991610162","Sun Oct 20 16:52:46 +0000 2024","0","Pelantikan presiden secara amanah konstitusi &amp; undang hrs d lantik oleh lembaga tinggi Negara lah lembaga tertinggi MPR bukanya sdh disamakan dengan lembaag pemerintah lainya lembaga MPR masih berhak kah melantik presiden kalau kedudukanya sama dgn lembaga pemerintahlainya.?.?","1848044702991610162","","","in","Puri Anjasmkro SMG BARAT","0","0","0","https://x.com/Imam_Mahdie/status/1848044702991610162","628998665","Imam_Mahdie"
"1848044692036026575","Sun Oct 20 16:52:44 +0000 2024","0","#TemanPemilih Segenap jajaran KPU Kabupaten Kediri mengucapkan Selamat dan Sukses atas dilantiknya Prabowo Subianto dan Gibran Rakabuming Raka sebagai Presiden dan Wakil Presiden Republik Indonesia Tahun 2024- 2029. https://t.co/YnfR2kYWdk","1848044692036026575","https://pbs.twimg.com/media/GaWS0dWb0AATNnW.jpg","","in","Kediri - Jawa Timur","0","1","0","https://x.com/KPU_Kediri/status/1848044692036026575","273710709","KPU_Kediri"
"1848044674248032687","Sun Oct 20 16:52:40 +0000 2024","0","Presiden Prabowo Tunjuk M Qodari Jadi Wakil KSP https://t.co/iLaZZ0gKXC","1848044674248032687","","","in","","0","0","0","https://x.com/OposisiCerdas/status/1848044674248032687","887743587579944960","OposisiCerdas"
"1848044594963042384","Sun Oct 20 16:52:21 +0000 2024","0","Presiden Prabowo Subianto mengantar Presiden ke-7 RI Jokowi ke Lanud Halim Perdanakusuma sebelum Jokowi pulang ke Solo usai 10 tahun menjabat. Prabowo dan Jokowi tiba sekitar pukul 14.43 disambut para menteri Kabinet Indonesia Maju. https://t.co/whhsr7yHuN","1848044594963042384","https://pbs.twimg.com/ext_tw_video_thumb/1848044464096555008/pu/img/3rt2AgqOXnXHSHLQ.jpg","","in","","0","0","0","https://x.com/kuatbacacom/status/1848044594963042384","1471027662529257472","kuatbacacom"
"1848024909102113030","Sun Oct 20 16:52:12 +0000 2024","0","@kompascom Presiden Prabowo menempatkan orang kepercayaannya di Setkab dan itu adalah sikap yang harus kita hormati.","1848044558850101561","","kompascom","in","Bumi Saunggalah - West Java","0","0","0","https://x.com/harya101/status/1848044558850101561","992134573","harya101"
"1848044551346548995","Sun Oct 20 16:52:10 +0000 2024","0","asli aku menunggu blio nyanyi jangan jadi aur auran pdhl depan mimbar presiden","1848044551346548995","","","in","jual gelang","0","0","0","https://x.com/drleant/status/1848044551346548995","1343453580640980994","drleant"
"1848044518421270648","Sun Oct 20 16:52:02 +0000 2024","0","Prabowo Umumkan Menteri Kabinet Merah Putih #prabowo #PresidenPrabowo Sekertariat Presiden Pelantikan Presiden Prabowo Gibran Rakabuming Raka https://t.co/anIvMHpR8s","1848044518421270648","","","in","","0","0","0","https://x.com/ciptanewsbanten/status/1848044518421270648","1763101836712767488","ciptanewsbanten"
"1848041276350034418","Sun Oct 20 16:51:56 +0000 2024","0","@macaroonbyun Ahh ngerti2. bisa juga merangkap jd penasihat atau sejenis konsultan pribadi lah istilahnya yaa keren sihh.. pasti krn faktor kepercayaan presiden yah dia kepilih: )) semoga amanah para pemimpin ini","1848044491737055263","","macaroonbyun","in","🥴","0","0","0","https://x.com/Byeonbackcon/status/1848044491737055263","1562101922944782337","Byeonbackcon"
"1847499208279871676","Sun Oct 20 16:51:54 +0000 2024","0","@tanyakanrl untung kalo kuliah didalem kelas gada foto presiden nya","1848044482715123896","","tanyakanrl","in","indonesia","0","0","0","https://x.com/nregulerpeopl/status/1848044482715123896","1274569177131442177","nregulerpeopl"
"1848044479187501114","Sun Oct 20 16:51:53 +0000 2024","0","Presiden RI Prabowo Subianto dalam pidato perdananya di MPR RI menyebut Indonesia mendapatkan karunia Tuhan dengan keberlimpahan Sumber Daya Alam. https://t.co/0m73Q8dy8N","1848044479187501114","","","in","Jakarta, Indonesia","0","0","0","https://x.com/detikfinance/status/1848044479187501114","135795460","detikfinance"
"1848044478772506918","Sun Oct 20 16:51:53 +0000 2024","0","Kalo ini sengkuni junior.... pemberi nilai 11/100 ke orang yang sedang dilantik jadi presiden.... mukanya juga gak kalah tebel.... mestinya mereka berdua dikasih duduk berdampingan di dekat pintu keluar ruangan acara.... https://t.co/tFQN0MWetH","1848044478772506918","https://pbs.twimg.com/media/GaWSqRFakAA7SqM.jpg","","in","#RepublikHomPimPah","0","0","0","https://x.com/KicauSunyi/status/1848044478772506918","260575817","KicauSunyi"
"1847844760436036077","Sun Oct 20 16:51:46 +0000 2024","0","@ainunnajib @aniesbaswedan Sebagai bakal mantan presiden 2024/2029!","1848044451257819598","","ainunnajib","in","","0","0","0","https://x.com/PPiranto40763/status/1848044451257819598","1635844327435014144","PPiranto40763"
"1847934507141435572","Sun Oct 20 16:51:43 +0000 2024","0","@sztrlght Kesel klo inget yak","1848044437513154769","","sztrlght","in","handle by admin","0","0","0","https://x.com/conslution/status/1848044437513154769","1390179856818663427","conslution"
"1848044417279738017","Sun Oct 20 16:51:38 +0000 2024","0","Presiden Prabowo Subianto langsung jadi sorotan saat iring-iringannya menuju Istana Kepresidenan pasca pelantikan. Yang bikin beda Prabowo nggak lagi naik mobil biasa melainkan kendaraan buatan lokal yang super gahar dan penuh kebanggaan nasional. https://t.co/6matx3Zsot","1848044417279738017","","","in","","0","0","0","https://x.com/hypevox_id/status/1848044417279738017","1726873272686694400","hypevox_id"
"1848042618393125021","Sun Oct 20 16:51:38 +0000 2024","0","@tangkaibunga_ Besok pagi anak sekolahan pada kaget nggak ya foto presiden dan wapresnya udh ganti","1848044417242021889","","tangkaibunga_","in","","0","0","0","https://x.com/salmanurlaily_/status/1848044417242021889","1660610635837898752","salmanurlaily_"
"1848044402297692570","Sun Oct 20 16:51:35 +0000 2024","0","Giselle jd presiden cooper jd wapres kawal Indonesia menuju uchinaga era ","1848044402297692570","","","in","","0","0","0","https://x.com/aerizzcism/status/1848044402297692570","1741131631904305152","aerizzcism"
"1847832384089313313","Sun Oct 20 16:51:33 +0000 2024","0","@kangdede78 @jokowi satu²nya presiden berhasil divęstasi 51% saham freeport","1848044394362147027","","kangdede78","in","Malang, Jawa Timur","0","0","0","https://x.com/massayib/status/1848044394362147027","92102839","massayib"
"1848044338766631153","Sun Oct 20 16:51:20 +0000 2024","1","Prabowo Subianto dan Gibran Rakabuming Raka resmi dilantik sebagai Presiden dan Wakil Presiden untuk periode 2024-2029. Mereka memperkenalkan kabinet yang bernama Kabinet Merah Putih. https://t.co/8zmZpCv9O1","1848044338766631153","","","in","Lampung Timur, Lampung","0","0","0","https://x.com/DemokrasiNewsco/status/1848044338766631153","1642901922553417728","DemokrasiNewsco"
"1847952480543641742","Sun Oct 20 16:49:48 +0000 2024","0","@RisaHart Benar sekali dan apakah Indonesia akan baik2 saja jika dulu bukan Jokowi yang menjadi presiden? Kadang2 sampah2 tidak bisa membedakan kritik dan menghina. Terimakasih Jokowi","1848043956900413742","","RisaHart","in","Denpasar Selatan, Indonesia","0","0","0","https://x.com/Erickblank/status/1848043956900413742","564951748","Erickblank"
"1848043954102800804","Sun Oct 20 16:49:48 +0000 2024","1","Ngemil Keripik Singkong sambil nonton Liverpool Minggu Chelsea Pidato Mayor Teddy Wapres Presiden https://t.co/RwWrceMxRs https://t.co/xzOkmtA70T","1848043954102800804","https://pbs.twimg.com/media/GaWSLsdbUAA79Z6.jpg","","in","","0","0","0","https://x.com/Faghamm/status/1848043954102800804","1603766178848964613","Faghamm"
"1848043949237350631","Sun Oct 20 16:49:47 +0000 2024","0","pgn pelihara kucing","1848043949237350631","","","in","Jawa Tengah, Indonesia","0","0","0","https://x.com/pgnberantem/status/1848043949237350631","1131163389802078208","pgnberantem"
"1847860389951996277","Sun Oct 20 16:49:44 +0000 2024","0","@SyedAkramin Jawatan presiden parti taknak pulak lepas bagi ke anak2 muda.. nk jugak jd presiden sampai mati ","1848043937698902131","","SyedAkramin","in","Selangor, Malaysia","0","0","0","https://x.com/EncikBuck/status/1848043937698902131","1642583389470601216","EncikBuck"
"1848007537699995944","Sun Oct 20 16:49:38 +0000 2024","0","@Sebelumberlayar @gara_nam harusnya enggak deh tapi gatau lagi sih. secara kan dia dipilih sama presiden bukan macam mencalonlan diri","1848043912893759785","","Sebelumberlayar","in","Internet","0","0","0","https://x.com/byonexnomercy/status/1848043912893759785","1551941537977667584","byonexnomercy"
"1848043903150358771","Sun Oct 20 16:49:36 +0000 2024","0","Nggak cuma Presiden Prabowo Subianto yang menjalani hari-hari barunya sebagai pemimpin Indonesia tapi kucing kesayangannya Bobby Kertanegara juga ikut menikmati suasana baru di Istana Kepresidenan. https://t.co/JSGOs9qK2X","1848043903150358771","","","in","","0","0","0","https://x.com/hypevox_id/status/1848043903150358771","1726873272686694400","hypevox_id"
"1848043881855869209","Sun Oct 20 16:49:31 +0000 2024","0","Tolong dipertimbangkan pak presiden","1848043881855869209","","","in","Indonesia","0","0","0","https://x.com/murcedotcom/status/1848043881855869209","887907872","murcedotcom"
"1848043856358687038","Sun Oct 20 16:49:25 +0000 2024","0","Terima Kasih Pak Joko Widodo... Percayalah.. Kami akan selalu mendoakan Bapak... Kami Tahu.. Yang berakhir adalah tugas Bapak sbg Presiden Republik Indonesia... Tapi kami yakin pengabdian bapak kepada Negara Kesatuan Republik Indonesia tak akan pernah berakhir utk bapak..🇮🇩 https://t.co/QmMphaFbm5","1848043856358687038","https://pbs.twimg.com/ext_tw_video_thumb/1848043830291120128/pu/img/Ko1NDeB-iEt_L4Vd.jpg","","in","Tukang Anter","0","0","0","https://x.com/0xkwetiauGo01/status/1848043856358687038","1622924491319029760","0xkwetiauGo01"
"1848043842924421427","Sun Oct 20 16:49:21 +0000 2024","0","Indonesia punya Presiden baru meskipun aroma nya masih rezim yang lama. Sehat terus negaraku. #Indonesia","1848043842924421427","","","in","Bekasi Selatan, Indonesia","0","0","0","https://x.com/daddyengineeer/status/1848043842924421427","1513556947785887746","daddyengineeer"
"1848043837513679183","Sun Oct 20 16:49:20 +0000 2024","0","doa terbaik untuk bapak Prabowo sebagai presiden terpilih semoga amanah memimpin dgn baik","1848043837513679183","","","in","Jakarta","0","0","0","https://x.com/minepage1/status/1848043837513679183","1299557330925678592","minepage1"
"1848043834049204480","Sun Oct 20 16:49:19 +0000 2024","0","Sebagai mantan presiden dia harus bertanggung jawab!!! Usut tuntas kebocoran itu...","1848043834049204480","","","in","","0","0","0","https://x.com/Tyan805/status/1848043834049204480","1429324599611727873","Tyan805"
"1847988039596806305","Sun Oct 20 16:49:18 +0000 2024","0","@0215jaeyun jangan deng nanti kasian kamu presiden n wapresnya pr4b0w0 g!br4|\|","1848043830744129993","","sevenbyols","in","aliy (she/her)","0","0","0","https://x.com/sevenbyols/status/1848043830744129993","1477734712105865217","sevenbyols"
"1847849134658899991","Sun Oct 20 16:49:14 +0000 2024","0","@seterahdeh Pak prabowo doa nya kurang lengkap dapat wakil gak jelas pas jadi presiden.","1848043810259165284","","seterahdeh","in","Bangkok Noi, Bangkok","0","0","0","https://x.com/spicycuttlefish/status/1848043810259165284","73289322","spicycuttlefish"
"1848043804252852392","Sun Oct 20 16:49:12 +0000 2024","1","Presiden @jokowi dan Wapres @Kiyai_MarufAmin atas dedikasi memimpin Indonesia selama periode 2019-2024.Semoga bisa selalu menginspirasi masyarakat Indonesia dalam membangun negeri. https://t.co/7apK9zlKBx","1848043804252852392","https://pbs.twimg.com/media/GaWSC7SaIAA6TTU.jpg","","in","Jl. A.Yani No.160, Semarang","0","0","0","https://x.com/kesbangpoljtg/status/1848043804252852392","2714014045","kesbangpoljtg"
"1848043774884348074","Sun Oct 20 16:49:05 +0000 2024","52","Jones otw MOTM bjirrr di hari pertama Prabowo presiden ","1848043774884348074","","","in","","6","9","14","https://x.com/The_RedsIndo/status/1848043774884348074","1392892878314119170","The_RedsIndo"
"1848043744282735087","Sun Oct 20 16:48:58 +0000 2024","0","ga minat gue denger berita2 presiden lngsng gue scroll wkwkwk","1848043744282735087","","","in","","0","0","0","https://x.com/santaimawonn/status/1848043744282735087","1241040905760436225","santaimawonn"
"1847845737171996802","Sun Oct 20 16:48:46 +0000 2024","0","@Generasiosing @Apni PDI-P keknya akan mendukung pemerintah Prabowo di jalur Parlemen karena di jalur kabinet gak dapet jatah. Gak bakalan berani PDI-P jadi oposisi segarang waktu SBY jadi presiden.","1848043695213523100","","Generasiosing","in","Gambir, Indonesia","0","0","0","https://x.com/JubeBellingham/status/1848043695213523100","1551561776197558272","JubeBellingham"
"1848043682995355967","Sun Oct 20 16:48:43 +0000 2024","1","Ario Bimo Nandito Ariotedjo kembali menjadi Menteri Pemuda dan Olahraga (Menpora) era Presiden Prabowo Subianto. Taufik Hidayat dipercaya sebagai wakil Menpora. https://t.co/b76UWB4NkI","1848043682995355967","","","in","Jakarta","0","0","0","https://x.com/detiksport/status/1848043682995355967","135783107","detiksport"
"1848043348625687014","Sun Oct 20 16:47:23 +0000 2024","0","Setelah ganti presiden akankah akun txt bakalan kena cekal?","1848043348625687014","","","in","rawalumbu","0","1","0","https://x.com/txtdrrwlmb/status/1848043348625687014","1318413178036834306","txtdrrwlmb"
"1848035481273184497","Sun Oct 20 16:47:08 +0000 2024","0"," saya akan terus kasih kritik (kasih argumen). tapi saya mencintai bangsa ini negeri ini saya cintai. yang saya nggak cintai adalah politik busuk pejabat busuk presiden busuk menteri busuk ngapain cintai mereka. mereka umurnya 5 tahun bangsa ini umurnya sepanjang hidup. ","1848043282544419030","","iwanridhwanid","in","Indonesia","0","1","0","https://x.com/iwanridhwanid/status/1848043282544419030","1084109745038909441","iwanridhwanid"
"1847942121212576115","Sun Oct 20 16:46:59 +0000 2024","0","@tanyakanrl Baru awal Oktober lohhh udah banyak banget yg bikin syokkkkkk dari si Agus Iris nikah Pelantikan presiden skg Pev nikah juga ","1848043246951485799","","tanyakanrl","in","","0","0","0","https://x.com/Naddira12/status/1848043246951485799","1237170070846976001","Naddira12"
"1848000193909956805","Sun Oct 20 16:46:54 +0000 2024","0","Harusnya aku tag presiden baru laperr pak @prabowo","1848043223966687718","","vvviolettss","in","","0","0","0","https://x.com/vvviolettss/status/1848043223966687718","1248013901444165634","vvviolettss"
"1848043206426124681","Sun Oct 20 16:46:50 +0000 2024","0","Pantesan cak imin mau gabung Koalisi dikasih jabatan menko dong. Itu tuhh titik tertinggi karir politik atau jabatan publik seorang politikus (tentu presiden gak dihitung) lupa dah ini dulu katanya luhut atau mahfud ya ","1848043206426124681","","","in","","0","0","0","https://x.com/beirsw/status/1848043206426124681","880952132043653120","beirsw"
"1848043123135680627","Sun Oct 20 16:46:30 +0000 2024","0","lagi ngobrolin dimyati: Ya gitu kalo orang dengan track record kekerasan seksual atau kriminalitas bisa lolos dr hukum dan ngga dikasi sanksi atas perbuatannya jd semena-mena merasa ngga ada yg ngekang ya itu yg terjadi dgn presiden kita bub shit is getting real pray pray","1848043123135680627","","","in","","0","0","0","https://x.com/riizadae/status/1848043123135680627","1324168614","riizadae"
"1847938614715699533","Sun Oct 20 16:46:29 +0000 2024","0","@Mangs_Oo @ozize Wahh cocok bgt nih jadi presiden. Omongannya gabisa dipercaya~","1848043118341640314","","Mangs_Oo","in","Alfamidi","0","0","0","https://x.com/ckjrn/status/1848043118341640314","441466903","ckjrn"
"1848040711331213808","Sun Oct 20 16:46:28 +0000 2024","0","Ini rangkuman catatan kritis dari kelas sospol (the lecture is a former stafsus presiden era sby) mungkin miss di kementerian LN nya ia ewkoekwo. https://t.co/WrQIMSlsAq","1848043117179781240","https://pbs.twimg.com/media/GaWQxGxbsAAbwEq.jpg","kajsuki","in","Inaho, dazai, oikawa, kaito 🌷","0","0","0","https://x.com/kajsuki/status/1848043117179781240","1215854885482254341","kajsuki"
"1847682046296301623","Sun Oct 20 16:46:27 +0000 2024","0","@prabowo @anwaribrahim Assalamualaikum pak @prabowo selamat telah menjabat sebagai presiden republik indonesia banyak doa dan harapan saya selama bapak menjabat sebagai presiden pak hari ini tepat di jam 23:15 orang tua saya bertengkar hebat","1848043109936173501","","prabowo","in","","0","1","0","https://x.com/Anandanurhdytt/status/1848043109936173501","1766400251307646976","Anandanurhdytt"
"1848043080559268279","Sun Oct 20 16:46:20 +0000 2024","0","bapak gw tumbenan pagi2 main ke rumah temen mana lama bgt lagi sampe sore baru pulang. diajak nobar pelantikan presiden apa gmn ","1848043080559268279","","","in","-","0","0","0","https://x.com/kirschoi/status/1848043080559268279","851365402110066688","kirschoi"
"1848043079087145054","Sun Oct 20 16:46:19 +0000 2024","0","pak presiden bilang bakal bela Palestina tapi Menag barunya malah begini tu apa maksud?","1848043079087145054","","","in","","0","0","0","https://x.com/s_4444x/status/1848043079087145054","2808550597","s_4444x"
"1848040120043422007","Sun Oct 20 16:46:18 +0000 2024","0","@Getjzebulon24 Dia dibantu sm presiden yg pernah masuk gorong2 wkwkwk","1848043074288759032","","Getjzebulon24","in","World","0","0","0","https://x.com/jafbtbr/status/1848043074288759032","1296846641400430592","jafbtbr"
